timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-06-04T11:57:01,3.59,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T11:57:12,1.56,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T11:57:13,1.00,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T11:57:28,1.15,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T11:57:52,2.79,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T11:58:22,4.90,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T11:58:49,3.95,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T11:59:05,1.19,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T11:59:29,2.78,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T11:59:53,2.81,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T12:00:28,6.94,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T12:00:42,1.14,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T12:00:55,1.02,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T12:01:29,7.21,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T12:01:49,1.59,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,default_1.20x
2026-06-04T12:02:46,20.00,1.90,10.00,perdeu,1.05,-10.00,-10.00,0,0.00,default_1.20x
2026-06-04T12:03:00,1.06,1.90,10.00,perdeu,1.13,-10.00,-20.00,0,0.00,default_1.20x
