timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-06-04T10:42:54,3.31,2.00,10.00,perdeu,0.00,-10.00,-10.00,0,0.00,P6_default
2026-06-04T10:43:27,2.59,2.00,10.00,ganhou,2.02,10.20,0.20,0,0.00,P6_default
2026-06-04T10:43:54,32.37,1.50,20.20,ganhou,1.55,11.11,11.31,0,11.11,P5_rosa_queimada
2026-06-04T10:44:21,4.79,2.00,10.00,perdeu,1.50,-10.00,1.31,0,11.11,P6_default
2026-06-04T10:44:42,1.51,2.00,10.00,ganhou,2.00,10.00,11.31,0,11.11,P6_default
2026-06-04T10:45:13,6.49,1.50,20.00,ganhou,1.50,10.00,21.31,0,21.11,P5_rosa_queimada
