timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-05-27T12:42:34,1.02,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,P1_pos_mega
2026-05-27T12:43:12,3.05,1.30,10.00,perdeu,1.23,-10.00,-10.00,0,0.00,P4_hot_streak
2026-05-27T12:43:27,1.31,1.30,10.00,ganhou,1.33,3.30,0.00,0,0.00,P4_hot_streak
2026-05-27T12:43:50,2.73,1.30,13.30,ganhou,1.32,4.26,13.30,0,0.00,P4_hot_streak
2026-05-27T12:44:10,1.85,1.30,17.56,ganhou,1.32,5.62,30.86,0,0.00,P4_hot_streak
2026-05-27T12:44:26,1.49,1.30,23.17,ganhou,1.32,7.42,54.03,0,7.42,P4_hot_streak
2026-05-27T12:44:47,2.75,1.30,10.00,perdeu,1.07,-10.00,44.03,0,7.42,P4_hot_streak
2026-05-27T12:45:01,1.08,1.30,10.00,ganhou,1.31,3.10,54.03,0,7.42,P4_hot_streak
2026-05-27T12:45:19,1.94,1.20,13.10,ganhou,1.21,2.75,67.13,0,7.42,P6_default
2026-05-27T12:45:33,1.31,1.20,15.85,perdeu,1.13,-15.85,51.28,0,7.42,P6_default
2026-05-27T12:46:01,1.50,1.20,10.00,ganhou,1.21,2.10,61.28,0,7.42,P6_default
2026-05-27T12:46:29,4.04,1.20,12.10,ganhou,1.24,2.90,73.38,0,7.42,P6_default
2026-05-27T12:46:56,3.83,1.20,15.00,ganhou,1.21,3.15,88.38,0,7.42,P6_default
2026-05-27T12:47:25,13.83,1.20,18.15,perdeu,1.04,-18.15,70.23,0,7.42,P5_rosa_queimada
2026-05-27T12:47:37,1.06,1.20,10.00,perdeu,1.05,-10.00,60.23,0,7.42,P6_default
2026-05-27T12:48:07,1.75,1.20,10.00,ganhou,1.20,2.00,70.23,0,7.42,P6_default
2026-05-27T12:48:26,2.00,1.20,12.00,ganhou,1.20,2.40,82.23,0,7.42,P6_default
