timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-06-01T11:39:08,171.32,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,P1_pos_mega
2026-06-01T11:39:09,42.07,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,P1_pos_mega
2026-06-01T11:39:41,2.14,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,P1_pos_mega
2026-06-01T11:40:01,1.02,1.30,1220.00,ganhou,1.31,378.20,378.20,0,0.00,P4_hot_streak
2026-06-01T11:40:37,8.81,1.30,1598.20,ganhou,1.37,591.33,969.53,0,0.00,P4_hot_streak
2026-06-01T11:40:41,988.81,0.00,0.00,pulado,0.00,0.00,969.53,0,0.00,P1_pos_mega
2026-06-01T11:40:42,1.98,0.00,0.00,pulado,0.00,0.00,969.53,0,0.00,P1_pos_mega
2026-06-01T11:40:51,1.04,0.00,0.00,pulado,0.00,0.00,969.53,0,0.00,P1_pos_mega
2026-06-01T11:41:11,1.15,1.30,2189.53,perdeu,1.04,-2189.53,-1220.00,0,0.00,P4_hot_streak
2026-06-01T11:41:32,1.15,1.30,1000.00,perdeu,1.00,-1000.00,-2220.00,0,0.00,P4_hot_streak
2026-06-01T11:41:57,1.33,1.30,1000.00,ganhou,1.31,310.00,-1910.00,0,0.00,P4_hot_streak
2026-06-01T11:42:17,2.48,1.20,1310.00,ganhou,1.26,340.60,-1569.40,0,0.00,P6_default
2026-06-01T11:42:52,7.44,1.20,1650.60,ganhou,1.45,742.77,-826.63,0,0.00,P5_rosa_queimada
2026-06-01T11:43:11,2.74,1.20,2393.37,ganhou,1.20,478.67,-347.96,0,478.67,P6_default
2026-06-01T11:43:28,2.40,1.20,1000.00,perdeu,1.02,-1000.00,-1347.96,0,478.67,P6_default
2026-06-01T11:43:49,1.01,1.20,1000.00,ganhou,1.21,210.00,-1137.96,0,478.67,P6_default
2026-06-01T11:44:02,1.28,1.20,1210.00,ganhou,1.22,266.20,-871.76,0,478.67,P6_default
2026-06-01T11:44:27,3.75,1.20,1476.20,ganhou,1.21,310.00,-561.75,0,478.67,P6_default
2026-06-01T11:44:43,1.30,1.20,1786.20,ganhou,1.21,375.10,-186.65,0,853.78,P6_default
2026-06-01T11:45:22,3.75,1.20,1000.00,perdeu,0.00,-1000.00,-1186.65,0,853.78,P6_default
2026-06-01T11:45:44,1.25,1.20,1000.00,perdeu,1.00,-1000.00,-2186.65,0,853.78,P6_default
2026-06-01T11:46:20,3.72,1.20,1000.00,ganhou,1.21,210.00,-1976.65,0,853.78,P6_default
2026-06-01T11:46:37,1.92,1.20,1210.00,ganhou,1.21,254.10,-1722.55,0,853.78,P6_default
2026-06-01T11:46:53,2.08,1.20,1464.10,perdeu,1.01,-1464.10,-3186.65,0,853.78,P6_default
