timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-06-01T12:36:42,8.59,1.20,5000.00,ganhou,1.22,1100.00,1100.00,0,0.00,P5_rosa_queimada
2026-06-01T12:36:56,14.32,1.20,6100.00,ganhou,1.21,1281.00,2381.00,0,0.00,P5_rosa_queimada
2026-06-01T12:37:15,1.48,1.20,7381.00,ganhou,1.23,1697.63,4078.63,0,1697.63,P6_default
2026-06-01T12:37:46,2.20,1.20,5000.00,ganhou,1.23,1150.00,5228.63,0,1697.63,P6_default
2026-06-01T12:38:11,3.93,1.20,6150.00,ganhou,1.20,1230.00,6458.63,0,1697.63,P6_default
2026-06-01T12:38:38,33.93,1.30,7380.00,ganhou,1.31,2287.80,8746.43,0,3985.43,P4_hot_streak
2026-06-01T12:39:04,3.88,1.30,5000.00,ganhou,1.35,1750.00,10496.43,0,3985.43,P4_hot_streak
2026-06-01T12:39:24,3.87,1.30,6750.00,ganhou,1.30,2025.00,12521.43,0,3985.43,P4_hot_streak
2026-06-01T12:39:53,2.58,1.30,8775.00,perdeu,1.27,-8775.00,3746.43,0,3985.43,P4_hot_streak
2026-06-01T12:40:40,8.38,1.30,5000.00,ganhou,1.30,1500.00,5246.43,0,3985.43,P4_hot_streak
2026-06-01T12:40:56,1.98,1.20,6500.00,ganhou,1.21,1365.00,6611.43,0,3985.43,P6_default
2026-06-01T12:41:25,5.10,1.20,7865.00,ganhou,1.21,1651.65,8263.08,0,5637.08,P5_rosa_queimada
2026-06-01T12:41:50,3.77,1.20,5000.00,ganhou,1.20,1000.00,9263.08,0,5637.08,P6_default
2026-06-01T12:42:26,9.00,1.20,6000.00,ganhou,1.21,1260.00,10523.08,0,5637.08,P5_rosa_queimada
2026-06-01T12:43:06,12.12,1.30,7260.00,ganhou,1.32,2323.20,12846.28,0,7960.28,P4_hot_streak
2026-06-01T12:43:22,2.46,1.20,5000.00,perdeu,0.00,-5000.00,7846.28,0,7960.28,P6_default
2026-06-01T12:43:44,1.13,1.20,5000.00,ganhou,1.22,1100.00,8946.28,0,7960.28,P6_default
2026-06-01T12:44:11,3.55,1.20,6100.00,ganhou,1.44,2684.00,11630.28,0,7960.28,P6_default
2026-06-01T12:44:38,1.75,1.20,8784.00,ganhou,1.20,1756.80,13387.08,0,9717.08,P6_default
2026-06-01T12:44:57,2.38,1.20,5000.00,ganhou,1.21,1050.00,14437.08,0,9717.08,P6_default
2026-06-01T12:45:09,1.31,1.20,6050.00,ganhou,1.20,1210.00,15647.08,0,9717.08,P6_default
2026-06-01T12:45:48,10.84,1.30,7260.00,ganhou,1.31,2250.60,17897.68,0,11967.68,P4_hot_streak
2026-06-01T12:46:06,1.98,1.30,5000.00,ganhou,1.33,1650.00,19547.68,0,11967.68,P4_hot_streak
2026-06-01T12:46:46,10.84,1.30,6650.00,ganhou,1.32,2128.00,21675.68,0,11967.68,P4_hot_streak
2026-06-01T12:47:03,13.21,1.30,8778.00,ganhou,1.30,2633.40,24309.08,0,14601.08,P4_hot_streak
2026-06-01T12:47:41,2.12,1.30,5000.00,perdeu,0.00,-5000.00,19309.08,0,14601.08,P4_hot_streak
2026-06-01T12:48:05,1.72,1.30,5000.00,perdeu,1.05,-5000.00,14309.08,0,14601.08,P4_hot_streak
2026-06-01T12:48:28,1.56,1.30,5000.00,perdeu,1.11,-5000.00,9309.08,0,14601.08,P4_hot_streak
2026-06-01T12:48:49,1.02,1.30,5000.00,ganhou,1.30,1500.00,10809.08,0,14601.08,P4_hot_streak
2026-06-01T12:49:28,11.19,1.30,6500.00,ganhou,1.35,2275.00,13084.08,0,14601.08,P4_hot_streak
2026-06-01T12:49:39,111.19,0.00,0.00,pulado,0.00,0.00,13084.08,0,14601.08,P1_pos_mega
2026-06-01T12:49:40,3.61,0.00,0.00,pulado,0.00,0.00,13084.08,0,14601.08,P1_pos_mega
2026-06-01T12:50:01,2.51,0.00,0.00,pulado,0.00,0.00,13084.08,0,14601.08,P1_pos_mega
2026-06-01T12:50:31,2.27,1.30,8775.00,ganhou,1.32,2808.00,15892.08,0,17409.08,P4_hot_streak
