timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-05-26T10:22:35,32.69,1.20,100.00,perdeu,0.00,-100.00,-100.00,0,0.00,default_1.20x
2026-05-26T10:23:03,1.88,1.20,100.00,ganhou,1.20,20.00,0.00,0,0.00,default_1.20x
2026-05-26T10:23:21,2.23,1.20,120.00,ganhou,1.22,26.40,120.00,0,0.00,default_1.20x
2026-05-26T10:23:39,2.07,1.20,146.40,ganhou,1.20,29.28,266.40,0,29.28,default_1.20x
2026-05-26T10:24:09,5.53,1.20,100.00,ganhou,1.22,22.00,366.40,0,29.28,default_1.20x
2026-05-26T10:24:22,1.53,1.20,122.00,perdeu,1.07,-122.00,244.40,0,29.28,default_1.20x
2026-05-26T10:25:05,4.20,1.20,100.00,ganhou,1.22,22.00,344.40,0,29.28,default_1.20x
2026-05-26T10:25:25,2.53,1.20,122.00,ganhou,1.21,25.62,466.40,0,29.28,default_1.20x
2026-05-26T10:25:44,2.15,1.20,147.62,ganhou,1.23,33.95,614.02,0,63.23,default_1.20x
2026-05-26T10:26:09,12.15,1.20,100.00,ganhou,1.23,23.00,714.02,0,63.23,default_1.20x
2026-05-26T10:26:23,4.02,1.20,123.00,perdeu,1.13,-123.00,591.02,0,63.23,default_1.20x
2026-05-26T10:27:00,3.94,1.20,100.00,ganhou,1.20,20.00,691.02,0,63.23,default_1.20x
2026-05-26T10:27:29,6.29,1.20,120.00,perdeu,0.00,-120.00,571.02,0,63.23,default_1.20x
2026-05-26T10:27:55,1.00,1.20,100.00,ganhou,1.22,22.00,671.02,0,63.23,default_1.20x
2026-05-26T10:28:11,1.47,1.20,122.00,ganhou,1.48,58.56,793.02,0,63.23,default_1.20x
2026-05-26T10:28:25,1.63,2.00,180.56,perdeu,1.30,-180.56,612.46,0,63.23,P2.1_ou_rosa
2026-05-26T10:28:46,1.09,1.20,100.00,ganhou,1.21,21.00,712.46,0,63.23,default_1.20x
2026-05-26T10:29:26,2.44,1.20,121.00,ganhou,1.22,26.62,833.46,0,63.23,default_1.20x
2026-05-26T10:29:50,3.60,1.20,147.62,ganhou,1.21,31.00,981.08,0,94.23,default_1.20x
