timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-06-04T12:54:10,14.30,2.00,10.00,perdeu,1.46,-10.00,-10.00,0,0.00,P4_hot_streak
2026-06-04T12:54:54,1.49,2.00,10.00,perdeu,0.00,-10.00,-20.00,0,0.00,P4_hot_streak
2026-06-04T12:55:20,1.30,2.00,10.00,perdeu,1.60,-10.00,-30.00,0,0.00,P4_hot_streak
2026-06-04T12:55:39,1.61,2.00,10.00,perdeu,1.83,-10.00,-40.00,0,0.00,P4_hot_streak
2026-06-04T12:55:58,1.84,1.70,10.00,ganhou,1.70,7.00,-33.00,0,0.00,P6_default
2026-06-04T12:56:11,71.84,2.00,17.00,perdeu,0.00,-17.00,-50.00,0,0.00,P4_hot_streak
2026-06-04T12:57:19,52.17,2.00,10.00,ganhou,2.04,10.40,-39.60,0,0.00,P4_hot_streak
2026-06-04T12:57:32,62.17,2.00,20.40,perdeu,1.00,-20.40,-60.00,0,0.00,P4_hot_streak
2026-06-04T12:57:55,1.00,2.00,10.00,ganhou,2.05,10.50,-49.50,0,0.00,P4_hot_streak
2026-06-04T12:58:10,31.00,2.00,20.50,perdeu,1.23,-20.50,-70.00,0,0.00,P4_hot_streak
