timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-06-04T14:06:07,2.49,1.70,10.00,perdeu,0.00,-10.00,-10.00,0,20.00,P6_default
2026-06-04T14:06:41,3.88,1.70,10.00,ganhou,1.72,7.20,-2.80,0,20.00,P6_default
2026-06-04T14:07:07,6.88,1.50,17.20,ganhou,1.52,8.94,6.14,0,28.94,P5_rosa_queimada
2026-06-04T14:07:29,3.58,1.70,10.00,perdeu,1.25,-10.00,-3.86,0,28.94,P6_default
2026-06-04T14:07:48,1.26,1.70,10.00,ganhou,1.71,7.10,3.24,0,28.94,P6_default
2026-06-04T14:08:06,1.84,1.70,17.10,ganhou,1.74,12.65,15.90,0,41.60,P6_default
2026-06-04T14:08:38,6.51,1.50,10.00,ganhou,1.50,5.00,20.90,0,41.60,P5_rosa_queimada
2026-06-04T14:09:37,210.26,0.00,0.00,pulado,0.00,0.00,20.90,0,41.60,P1_pos_mega
2026-06-04T14:09:59,2.29,0.00,0.00,pulado,0.00,0.00,20.90,0,41.60,P1_pos_mega
2026-06-04T14:10:16,1.54,0.00,0.00,pulado,0.00,0.00,20.90,0,41.60,P1_pos_mega
2026-06-04T14:10:45,1.14,1.70,15.00,ganhou,1.72,10.80,31.70,0,52.40,P6_default
