timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-05-27T11:25:50,1.45,1.20,1000.00,ganhou,1.23,230.00,1412.80,0,0.00,P6_default
2026-05-27T11:26:26,8.85,1.20,1230.00,ganhou,1.21,258.30,2642.80,0,0.00,P5_rosa_queimada
2026-05-27T11:26:59,2.64,1.20,1488.30,perdeu,1.07,-1488.30,1154.50,0,0.00,P6_default
2026-05-27T11:27:29,21.11,1.20,1000.00,ganhou,1.21,210.00,2154.50,0,0.00,P5_rosa_queimada
2026-05-27T11:27:44,1.52,1.20,1210.00,ganhou,1.21,254.10,3364.50,0,0.00,P6_default
2026-05-27T11:27:57,1.58,1.20,1464.10,ganhou,1.23,336.74,4828.60,0,0.00,P6_default
2026-05-27T11:28:32,1.44,1.20,1800.84,perdeu,1.04,-1800.84,3027.76,0,0.00,P6_default
2026-05-27T11:28:50,1.06,1.20,1000.00,ganhou,1.21,210.00,4027.76,0,0.00,P6_default
2026-05-27T11:29:03,1.38,1.20,1210.00,ganhou,1.22,266.20,5237.76,0,0.00,P6_default
2026-05-27T11:29:24,2.76,1.20,1476.20,ganhou,1.23,339.53,6713.96,0,0.00,P6_default
2026-05-27T11:30:03,1.97,1.20,1815.73,ganhou,1.20,363.15,8529.68,0,363.15,P6_default
2026-05-27T11:30:35,11.97,1.30,1000.00,ganhou,1.31,310.00,9529.68,0,363.15,P4_hot_streak
2026-05-27T11:30:50,5.77,1.30,1310.00,ganhou,1.30,393.00,10839.68,0,363.15,P4_hot_streak
2026-05-27T11:31:16,4.26,1.20,1703.00,ganhou,1.21,357.63,12542.68,0,363.15,P6_default
2026-05-27T11:31:50,7.92,1.20,2060.63,ganhou,1.21,432.73,14603.31,0,795.88,P5_rosa_queimada
2026-05-27T11:32:05,1.44,1.20,1000.00,ganhou,1.42,420.00,15603.31,0,795.88,P6_default
