timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-06-03T10:57:48,2.09,1.50,5000.00,ganhou,1.52,2600.00,150.00,0,0.00,P6_default
2026-06-03T10:58:11,4.07,1.50,5000.00,perdeu,1.25,-5000.00,-4850.00,0,0.00,P6_default
2026-06-03T10:58:52,1.17,1.50,5000.00,ganhou,1.50,2500.00,-2350.00,0,0.00,P6_default
2026-06-03T10:59:43,3.46,1.50,5000.00,perdeu,1.05,-5000.00,-7350.00,0,0.00,P6_default
2026-06-03T11:00:21,17.91,1.50,5000.00,perdeu,0.00,-5000.00,-12350.00,0,0.00,P5_rosa_queimada
2026-06-03T11:00:47,1.25,1.50,5000.00,ganhou,1.51,2550.00,-9800.00,0,0.00,P6_default
2026-06-03T11:01:05,2.69,1.50,5000.00,perdeu,1.21,-5000.00,-14800.00,0,0.00,P6_default
2026-06-03T11:01:35,1.14,1.50,5000.00,ganhou,2.09,5450.00,-9350.00,0,0.00,P6_default
2026-06-03T11:02:28,190.14,0.00,0.00,pulado,0.00,0.00,-9350.00,0,0.00,P1_pos_mega
2026-06-03T11:02:42,1.47,0.00,0.00,pulado,0.00,0.00,-9350.00,0,0.00,P1_pos_mega
2026-06-03T11:03:00,11.47,0.00,0.00,pulado,0.00,0.00,-9350.00,0,0.00,P1_pos_mega
2026-06-03T11:03:16,2.21,2.00,5000.00,perdeu,1.72,-5000.00,-14350.00,0,0.00,P4_hot_streak
2026-06-03T11:03:48,1.00,2.00,5000.00,perdeu,0.00,-5000.00,-19350.00,0,0.00,P4_hot_streak
2026-06-03T11:04:20,2.27,2.00,5000.00,ganhou,2.02,5100.00,-14250.00,0,0.00,P4_hot_streak
2026-06-03T11:04:56,1.89,2.00,5000.00,perdeu,0.00,-5000.00,-19250.00,0,0.00,P4_hot_streak
2026-06-03T11:05:33,1.09,2.00,5000.00,perdeu,0.00,-5000.00,-24250.00,0,0.00,P4_hot_streak
