timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-05-26T14:43:17,4.87,1.20,100.00,ganhou,1.22,22.00,1800.80,0,152.82,default_1.20x
2026-05-26T14:43:32,1.62,1.20,122.00,ganhou,1.22,26.84,1922.80,0,152.82,default_1.20x
2026-05-26T14:43:46,1.56,1.20,148.84,ganhou,1.21,31.26,2071.64,0,184.08,default_1.20x
2026-05-26T14:43:59,1.25,2.00,100.00,perdeu,1.14,-100.00,1971.64,0,184.08,P2.1_ou_rosa
2026-05-26T14:44:32,3.40,1.20,100.00,perdeu,1.00,-100.00,1871.64,0,184.08,default_1.20x
2026-05-26T14:44:55,1.22,1.20,100.00,ganhou,1.20,20.00,1971.64,0,184.08,default_1.20x
2026-05-26T14:45:52,52.21,1.20,120.00,ganhou,1.23,27.60,2091.64,0,184.08,default_1.20x
2026-05-26T14:46:18,62.21,1.20,147.60,ganhou,1.21,31.00,2239.24,0,215.08,default_1.20x
2026-05-26T14:46:55,4.20,1.20,100.00,perdeu,1.11,-100.00,2139.24,0,215.08,default_1.20x
2026-05-26T14:47:08,1.28,1.20,100.00,ganhou,1.21,21.00,2239.24,0,215.08,default_1.20x
2026-05-26T14:47:22,1.44,1.20,121.00,ganhou,1.26,31.46,2360.24,0,215.08,default_1.20x
2026-05-26T14:47:37,1.45,2.00,152.46,perdeu,1.41,-152.46,2207.78,0,215.08,P2.1_ou_rosa
2026-05-26T14:47:46,1.01,0.00,0.00,pulado,0.00,0.00,2207.78,0,215.08,pausado
2026-05-26T14:47:59,1.14,0.00,0.00,pulado,0.00,0.00,2207.78,0,215.08,pausado
2026-05-26T14:48:29,6.33,0.00,0.00,pulado,0.00,0.00,2207.78,0,215.08,pausado
2026-05-26T14:48:40,1.14,0.00,0.00,pulado,0.00,0.00,2207.78,0,215.08,pausado
2026-05-26T14:49:39,17.01,1.20,100.00,ganhou,1.20,20.00,2307.78,0,215.08,default_1.20x
2026-05-26T14:50:10,6.38,1.20,120.00,ganhou,1.20,24.00,2427.78,0,215.08,default_1.20x
2026-05-26T14:50:49,3.74,1.20,144.00,ganhou,1.21,30.24,2571.78,0,245.32,default_1.20x
2026-05-26T14:51:18,5.55,1.20,100.00,ganhou,1.23,23.00,2671.78,0,245.32,default_1.20x
2026-05-26T14:51:31,1.37,1.20,123.00,ganhou,1.22,27.06,2794.78,0,245.32,default_1.20x
2026-05-26T14:52:07,1.37,1.20,150.06,perdeu,0.00,-150.06,2644.72,0,245.32,default_1.20x
2026-05-26T14:53:08,36.51,1.20,100.00,ganhou,1.23,23.00,2744.72,0,245.32,default_1.20x
2026-05-26T14:53:30,86.51,1.20,123.00,perdeu,1.14,-123.00,2621.72,0,245.32,default_1.20x
2026-05-26T14:54:18,11.36,1.20,100.00,perdeu,0.00,-100.00,2521.72,0,245.32,default_1.20x
2026-05-26T14:54:41,1.00,1.20,100.00,perdeu,1.01,-100.00,2421.72,0,245.32,default_1.20x
2026-05-26T14:55:11,2.26,1.20,100.00,ganhou,1.25,25.00,2521.72,0,245.32,default_1.20x
2026-05-26T14:55:34,3.52,1.20,125.00,perdeu,0.00,-125.00,2396.72,0,245.32,default_1.20x
2026-05-26T14:55:53,1.00,1.20,100.00,perdeu,1.16,-100.00,2296.72,0,245.32,default_1.20x
2026-05-26T14:56:24,31.35,1.20,100.00,ganhou,1.30,30.00,2396.72,0,245.32,default_1.20x
2026-05-26T14:56:40,1.33,1.20,130.00,perdeu,1.06,-130.00,2266.72,0,245.32,default_1.20x
2026-05-26T14:58:46,1.21,1.20,100.00,perdeu,0.00,-100.00,2166.72,0,245.32,default_1.20x
