timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-05-28T14:26:57,14.24,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,P1_pos_mega
2026-05-28T14:27:22,1.05,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,P1_pos_mega
2026-05-28T14:27:31,4.05,1.30,1000.00,perdeu,0.00,-1000.00,-1000.00,0,0.00,P4_hot_streak
2026-05-28T14:28:27,16.16,1.30,1000.00,ganhou,1.31,310.00,0.00,0,0.00,P4_hot_streak
2026-05-28T14:28:48,116.16,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,P1_pos_mega
2026-05-28T14:28:49,8.11,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,P1_pos_mega
2026-05-28T14:29:00,1.07,0.00,0.00,pulado,0.00,0.00,0.00,0,0.00,P1_pos_mega
2026-05-28T14:30:01,10.62,1.30,1310.00,perdeu,0.00,-1310.00,-1310.00,0,0.00,P4_hot_streak
2026-05-28T14:30:25,1.12,1.30,1000.00,ganhou,1.32,320.00,-310.00,0,0.00,P4_hot_streak
2026-05-28T14:30:52,1.49,1.30,1320.00,ganhou,1.32,422.40,1010.00,0,0.00,P4_hot_streak
2026-05-28T14:31:25,7.52,1.30,1742.40,ganhou,1.31,540.14,2752.40,0,0.00,P4_hot_streak
2026-05-28T14:31:44,2.31,1.30,2282.54,ganhou,1.32,730.41,5034.94,0,730.41,P4_hot_streak
2026-05-28T14:32:03,2.21,1.30,1000.00,ganhou,1.32,320.00,6034.94,0,730.41,P4_hot_streak
2026-05-28T14:32:21,932.21,0.00,0.00,pulado,0.00,0.00,6034.94,0,730.41,P1_pos_mega
2026-05-28T14:32:22,5.93,0.00,0.00,pulado,0.00,0.00,6034.94,0,730.41,P1_pos_mega
2026-05-28T14:32:40,2.20,0.00,0.00,pulado,0.00,0.00,6034.94,0,730.41,P1_pos_mega
