timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-06-03T11:59:41,1.69,1.50,50.00,ganhou,1.51,25.50,25.50,0,0.00,P6_default
2026-06-03T12:00:09,2.58,1.50,75.50,ganhou,1.50,37.75,63.25,0,0.00,P6_default
2026-06-03T12:00:26,32.96,2.00,113.25,perdeu,0.00,-113.25,-50.00,0,0.00,P4_hot_streak
2026-06-03T12:01:55,1.81,2.00,50.00,perdeu,1.44,-50.00,-100.00,0,0.00,P4_hot_streak
2026-06-03T12:02:59,8.41,1.50,50.00,ganhou,1.50,25.00,-75.00,0,0.00,P5_rosa_queimada
2026-06-03T12:03:32,2.65,1.50,75.00,ganhou,1.50,37.50,-37.50,0,0.00,P6_default
2026-06-03T12:03:58,4.15,1.50,112.50,ganhou,1.50,56.25,18.75,0,56.25,P6_default
2026-06-03T12:04:29,3.49,1.50,50.00,ganhou,1.50,25.00,43.75,0,56.25,P6_default
2026-06-03T12:05:06,3.47,1.70,75.00,perdeu,0.00,-75.00,-31.25,0,56.25,P6_default
2026-06-03T12:05:46,3.49,1.70,50.00,ganhou,1.72,36.00,4.75,0,56.25,P6_default
2026-06-03T12:05:48,139.64,0.00,0.00,pulado,0.00,0.00,4.75,0,56.25,P1_pos_mega
2026-06-03T12:05:56,3.65,0.00,0.00,pulado,0.00,0.00,4.75,0,56.25,P1_pos_mega
2026-06-03T12:06:23,139.64,0.00,0.00,pulado,0.00,0.00,4.75,0,56.25,P1_pos_mega
2026-06-03T12:06:24,2.18,0.00,0.00,pulado,0.00,0.00,4.75,0,56.25,P1_pos_mega
2026-06-03T12:06:43,1.39,0.00,0.00,pulado,0.00,0.00,4.75,0,56.25,P1_pos_mega
2026-06-03T12:07:39,4.48,2.00,86.00,perdeu,1.95,-86.00,-81.25,0,56.25,P4_hot_streak
2026-06-03T12:08:02,2.01,2.00,50.00,ganhou,2.00,50.00,-31.25,0,56.25,P4_hot_streak
2026-06-03T12:08:39,6.62,2.00,100.00,ganhou,2.00,100.00,68.75,0,56.25,P4_hot_streak
2026-06-03T12:09:20,11.27,2.00,200.00,perdeu,1.65,-200.00,-131.25,0,56.25,P4_hot_streak
2026-06-03T12:09:38,1.66,2.00,50.00,perdeu,1.38,-50.00,-181.25,0,56.25,P4_hot_streak
