timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-05-25T16:09:02,1.04,1.20,100.00,perdeu,1.12,-100.00,-100.00,0,0.00,default_1.20x
2026-05-25T16:09:25,1.11,1.20,100.00,ganhou,1.25,25.00,0.00,0,0.00,default_1.20x
2026-05-25T16:09:39,1.59,1.20,125.00,ganhou,1.22,27.50,125.00,0,0.00,default_1.20x
2026-05-25T16:09:56,1.82,1.20,152.50,ganhou,1.25,38.12,277.50,0,38.12,default_1.20x
2026-05-25T16:10:10,1.49,1.20,100.00,ganhou,1.25,25.00,377.50,0,38.12,default_1.20x
2026-05-25T16:10:40,6.02,1.20,125.00,ganhou,1.24,30.00,502.50,0,38.12,default_1.20x
2026-05-25T16:11:06,1.62,1.20,155.00,perdeu,1.00,-155.00,347.50,0,38.12,default_1.20x
2026-05-25T16:11:33,1.01,2.00,100.00,ganhou,2.02,102.00,447.50,0,38.12,P2.1_ou_rosa
2026-05-25T16:12:04,3.01,1.20,202.00,ganhou,1.22,44.44,649.50,0,38.12,default_1.20x
2026-05-25T16:12:19,1.64,1.20,246.44,ganhou,1.20,49.29,895.94,0,87.41,default_1.20x
2026-05-25T16:12:41,1.67,2.00,100.00,ganhou,2.00,100.00,995.94,0,87.41,P2.1_ou_rosa
2026-05-25T16:12:55,571.67,1.20,200.00,ganhou,1.24,48.00,1195.94,0,87.41,default_1.20x
2026-05-25T16:13:16,2.66,1.20,124.00,ganhou,1.24,29.76,1319.94,0,117.17,default_1.20x
2026-05-25T16:13:49,282.66,1.20,100.00,ganhou,1.21,21.00,1419.94,0,117.17,default_1.20x
2026-05-25T16:14:20,6.12,1.20,100.00,ganhou,1.20,20.00,1519.94,0,117.17,default_1.20x
2026-05-25T16:15:05,23.81,1.20,100.00,perdeu,1.01,-100.00,1419.94,0,117.17,default_1.20x
2026-05-25T16:15:28,1.12,1.20,100.00,ganhou,1.22,22.00,1519.94,0,117.17,default_1.20x
2026-05-25T16:15:46,2.07,1.20,100.00,ganhou,1.25,25.00,1619.94,0,117.17,default_1.20x
2026-05-25T16:16:06,2.52,1.20,100.00,ganhou,1.25,25.00,1719.94,0,142.17,default_1.20x
2026-05-25T16:16:33,4.26,1.20,100.00,ganhou,1.23,23.00,1819.94,0,142.17,default_1.20x
2026-05-25T16:16:59,174.26,1.20,100.00,ganhou,1.22,22.00,1919.94,0,142.17,default_1.20x
2026-05-25T16:17:37,4.17,1.20,100.00,perdeu,0.00,-100.00,1819.94,0,142.17,default_1.20x
2026-05-25T16:17:59,1.44,1.20,100.00,ganhou,1.28,28.00,1919.94,0,142.17,default_1.20x
2026-05-25T16:18:20,1.04,2.00,100.00,perdeu,0.00,-100.00,1819.94,0,142.17,P2.1_ou_rosa
2026-05-25T16:18:47,1.70,1.20,100.00,ganhou,1.22,22.00,1919.94,0,142.17,default_1.20x
2026-05-25T16:19:01,1.44,1.20,100.00,ganhou,1.20,20.00,2019.94,0,142.17,default_1.20x
2026-05-25T16:19:19,2.24,1.20,100.00,ganhou,1.20,20.00,2119.94,0,162.17,default_1.20x
2026-05-25T16:19:44,3.64,1.20,100.00,ganhou,1.20,20.00,2219.94,0,162.17,default_1.20x
2026-05-25T16:19:59,1.65,1.20,100.00,ganhou,1.20,20.00,2319.94,0,162.17,default_1.20x
2026-05-25T16:20:22,3.04,1.20,100.00,ganhou,1.23,23.00,2419.94,0,185.17,default_1.20x
2026-05-25T16:20:35,1.30,1.20,100.00,perdeu,1.05,-100.00,2319.94,0,185.17,default_1.20x
2026-05-25T16:21:04,1.44,2.00,100.00,ganhou,2.02,102.00,2419.94,0,185.17,P2.1_ou_rosa
2026-05-25T16:21:35,12.14,1.20,100.00,ganhou,1.26,26.00,2519.94,0,185.17,default_1.20x
2026-05-25T16:21:47,1.40,1.20,100.00,perdeu,1.17,-100.00,2419.94,0,185.17,default_1.20x
2026-05-25T16:22:14,1.62,1.20,100.00,ganhou,1.21,21.00,2519.94,0,185.17,default_1.20x
2026-05-25T16:22:52,3.70,1.20,100.00,ganhou,1.20,20.00,2619.94,0,185.17,default_1.20x
2026-05-25T16:23:17,3.72,1.20,100.00,ganhou,1.22,22.00,2719.94,0,207.17,default_1.20x
2026-05-25T16:23:38,773.72,1.20,100.00,ganhou,1.20,20.00,2819.94,0,207.17,default_1.20x
2026-05-25T16:23:59,1.10,1.20,100.00,perdeu,0.00,-100.00,2719.94,0,207.17,default_1.20x
2026-05-25T16:24:53,21.88,1.20,100.00,perdeu,0.00,-100.00,2619.94,0,207.17,default_1.20x
2026-05-25T16:25:22,1.80,1.20,100.00,ganhou,1.31,31.00,2719.94,0,207.17,default_1.20x
2026-05-25T16:25:37,1.79,1.20,100.00,ganhou,1.20,20.00,2819.94,0,207.17,default_1.20x
2026-05-25T16:25:54,1.98,1.20,100.00,ganhou,1.22,22.00,2919.94,0,229.17,default_1.20x
2026-05-25T16:26:12,1.95,1.20,100.00,ganhou,1.24,24.00,3019.94,0,229.17,default_1.20x
2026-05-25T16:27:08,50.75,1.20,100.00,ganhou,1.20,20.00,3119.94,0,229.17,default_1.20x
