timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-05-25T10:31:51,71.31,1.20,100.00,ganhou,1.22,22.00,100.00,0,0.00,default_1.20x
2026-05-25T10:32:19,14.37,1.20,122.00,perdeu,1.10,-122.00,-22.00,0,0.00,default_1.20x
2026-05-25T10:32:48,411.21,1.20,100.00,perdeu,1.11,-100.00,-122.00,0,0.00,default_1.20x
2026-05-25T10:33:19,2.40,1.20,100.00,ganhou,1.22,22.00,-22.00,0,0.00,default_1.20x
2026-05-25T10:33:44,3.53,1.20,122.00,ganhou,1.29,35.38,100.00,0,0.00,default_1.20x
2026-05-25T10:33:56,1.65,1.20,157.38,perdeu,1.02,-157.38,-57.38,0,0.00,default_1.20x
2026-05-25T10:34:42,2.31,1.20,100.00,perdeu,0.00,-100.00,-157.38,0,0.00,default_1.20x
