timestamp,multiplicador_round,cashout_alvo,valor_apostado,resultado,cashout_obtido,lucro_aposta,banca_acumulada,cadeia_pos,cofre,estrategia
2026-05-26T15:29:56,1.07,1.20,1000.00,ganhou,1.20,200.00,1000.00,0,0.00,default_1.20x
2026-05-26T15:30:23,1.92,2.00,1200.00,ganhou,2.04,1248.00,2200.00,0,0.00,P2.1_ou_rosa
2026-05-26T15:30:59,2.75,1.20,2448.00,perdeu,0.00,-2448.00,-248.00,0,0.00,default_1.20x
2026-05-26T15:31:45,6.36,1.20,1000.00,perdeu,0.00,-1000.00,-1248.00,0,0.00,default_1.20x
2026-05-26T15:32:16,2.22,1.20,1000.00,ganhou,1.20,200.00,-248.00,0,0.00,default_1.20x
2026-05-26T15:32:44,892.22,1.20,1200.00,perdeu,1.00,-1200.00,-1448.00,0,0.00,default_1.20x
